FP_RATIO	tool	MS_mean	RMSE_mean
0.0	CLEMENT_decision	71.12 (122.2-137.2% ↑)	0.14
0.0	pyclonevi	54.96	2.51
0.0	quantumclone	58.22	2.28
0.0	sciclone	51.83	2.47
0.025	CLEMENT_decision	70.68 (130.3-135.7% ↑)	0.13
0.025	pyclonevi	52.32	2.45
0.025	quantumclone	54.23	2.64
0.025	sciclone	52.07	2.16
0.05	CLEMENT_decision	70.87 (135.8-143.8% ↑)	0.07
0.05	pyclonevi	49.63	2.48
0.05	quantumclone	52.17	2.5
0.05	sciclone	49.28	2.01
0.075	CLEMENT_decision	70.32 (131.5-141.8% ↑)	0.18
0.075	pyclonevi	49.6	2.2
0.075	quantumclone	53.46	2.21
0.075	sciclone	50.31	1.83
0.1	CLEMENT_decision	69.02 (133.1-146.0% ↑)	0.4
0.1	pyclonevi	48.32	2.28
0.1	quantumclone	51.86	2.34
0.1	sciclone	47.28	1.95
