NUM_CLONE	tool	EC_mean	EC_std	MS_mean	MS_std
2	CLEMENT_decision	2.0	0.0	495.0 (101.6-107.7% ↑)	9.35
2	pyclonevi	2.8	0.92	459.8	44.59
2	quantumclone	2.3	0.67	468.7	59.95
2	sciclone	2.3	0.48	487.0	17.26
3	CLEMENT_decision	3.17	0.39	454.0 (102.9-112.8% ↑)	60.45
3	pyclonevi	3.0	0.6	439.08	65.93
3	quantumclone	3.0	0.6	441.0	63.74
3	sciclone	2.92	0.67	402.58	86.51
4	CLEMENT_decision	4.17	0.39	422.25 (104.0-110.9% ↑)	93.55
4	pyclonevi	3.25	1.06	400.33	121.2
4	quantumclone	3.33	0.89	406.08	108.08
4	sciclone	3.17	0.94	380.83	114.42
5	CLEMENT_decision	5.08	0.29	403.92 (113.0-122.3% ↑)	103.69
5	pyclonevi	3.42	1.31	344.08	127.77
5	quantumclone	3.58	1.44	357.5	137.65
5	sciclone	3.67	1.44	330.33	117.88
6	CLEMENT_decision	6.0	0.6	354.17 (110.7-136.1% ↑)	96.31
6	pyclonevi	3.58	1.51	295.83	117.25
6	quantumclone	3.83	1.53	320.0	121.83
6	sciclone	3.17	1.27	260.17	96.52
7	CLEMENT_decision	6.83	0.39	344.25 (104.4-138.3% ↑)	123.49
7	pyclonevi	3.5	1.31	252.17	91.83
7	quantumclone	4.67	1.83	329.67	127.99
7	sciclone	3.58	1.38	248.83	104.43
